optimizer,epoch,val_accuracy,val_f1_micro,val_recall_micro,val_precision_micro,train_loss,val_loss,train_f1_micro,train_precision_micro,train_recall_micro
adagrad,14,0.976530612244898,0.9906393148775144,0.9849504950495049,0.9963942307692307,0.035680002013890696,0.014593007791863412,0.9759881953138974,0.9796678635547577,0.9723360655737705
adagrad,15,0.9806122448979592,0.9922449791210977,0.9881188118811881,0.9964057507987221,0.03426781879523316,0.012731196670507898,0.9768553683928332,0.9797884736040154,0.9739397719173201
adagrad,16,0.9811224489795919,0.9926485197695212,0.9893069306930693,0.9960127591706539,0.03165193599516316,0.011695280349908434,0.9789400808450767,0.9815486586949707,0.9763453314326443
adagrad,17,0.9831632653061224,0.9932459276916965,0.9900990099009901,0.9964129135113591,0.030878714666587346,0.011225707044026681,0.9801283054295102,0.9836242092512002,0.9766571632216678
adagrad,18,0.9831632653061224,0.9932405566600397,0.9893069306930693,0.9972055888223553,0.030144843869268148,0.01099376612894085,0.9799839156465017,0.9828822369600286,0.9771026372059872
adagrad,19,0.9857142857142858,0.9942426047250348,0.9916831683168317,0.9968152866242038,0.02830165414375402,0.01007732262226696,0.9812297734627832,0.983226729883258,0.9792409123307199
adagrad,20,0.9862244897959184,0.9944422389837237,0.9920792079207921,0.996816553919618,0.026900656836072637,0.009516951284010191,0.982642689601251,0.985526728502935,0.979775481111903
adagrad,21,0.9877551020408163,0.9950347567030785,0.9920792079207921,0.99800796812749,0.02599147095996269,0.009392536262392389,0.9831234931690329,0.9853230714157867,0.9809337134711333
adagrad,22,0.9887755102040816,0.9956331877729258,0.9932673267326733,0.9980103461997613,0.025024151387035537,0.008627825462240345,0.9837485489775872,0.985949525684625,0.9815573770491803
adagrad,23,0.9908163265306122,0.9964299880999603,0.9948514851485148,0.9980135081446166,0.024504706769510973,0.00802161260412968,0.9833790687816523,0.9849832402234637,0.98178011404134
adagrad,24,0.9908163265306122,0.9964314036478985,0.9952475247524752,0.9976181024215959,0.023564489939188336,0.007789950481882053,0.985063296791623,0.9874222281903228,0.9827156094084105
adagrad,25,0.9897959183673469,0.996033320111067,0.9944554455445545,0.9976162097735399,0.02334165740558623,0.007870490757786498,0.9852225545783294,0.9873825503355704,0.983071988595866
adagrad,26,0.9928571428571429,0.9972244250594766,0.996039603960396,0.9984120682810639,0.021894770108993687,0.007040855607816151,0.9861002655005466,0.9877530952487373,0.9844529579472558
adagrad,27,0.9908163265306122,0.9964285714285714,0.9944554455445545,0.9984095427435388,0.02172582472561202,0.007124977359282119,0.9863606937964596,0.9885453487851805,0.9841856735566643
adagrad,28,0.9928571428571429,0.9972244250594766,0.996039603960396,0.9984120682810639,0.021821149458797127,0.006691929494144813,0.9858803060382325,0.9873117991332708,0.9844529579472558
adagrad,29,0.9923469387755102,0.9970279373885477,0.9964356435643564,0.9976209357652657,0.02045002715385697,0.0063649909190681515,0.9871574386348916,0.9898768197088466,0.9844529579472558
adagrad,30,0.9928571428571429,0.9972255251684503,0.9964356435643564,0.9980166600555335,0.020376926741501173,0.00610337114598298,0.987172909184197,0.9886947584789312,0.985655737704918
adagrad,31,0.9933673469387755,0.997424212403408,0.9968316831683168,0.9980174464710547,0.01916906178220587,0.005902981407921381,0.9879953588004284,0.9897621602288984,0.9862348538845331
adagrad,32,0.9933673469387755,0.997424212403408,0.9968316831683168,0.9980174464710547,0.019069741520544758,0.005710218698546594,0.9881244698424037,0.9902908277404922,0.9859675694939416
adagrad,33,0.9933673469387755,0.997424212403408,0.9968316831683168,0.9980174464710547,0.018750656578062314,0.005745836417190731,0.9887134189864383,0.990126876340243,0.9873039914468995
adagrad,34,0.9918367346938776,0.9968279143536876,0.9956435643564356,0.9980150853513299,0.01884963477252022,0.006014422361967059,0.9881539319576129,0.9897215891316977,0.9865912330719886
adagrad,35,0.9933673469387755,0.997424212403408,0.9968316831683168,0.9980174464710547,0.017706858173886616,0.0056371733978656784,0.9890727443022167,0.990265249620434,0.9878831076265147
adagrad,36,0.9933673469387755,0.997424212403408,0.9968316831683168,0.9980174464710547,0.017293121807307188,0.005342145644993122,0.989274644903784,0.9903567123532301,0.9881949394155382
